category,mean,p025,p975
0,4.849748030336093,4.14604971509702,5.299582554326518
1,6.81136097686419,6.313118764376361,7.261703730447687
2,6.7832506013647675,6.27507202315347,7.390541930233557
3,6.2879089606864484,5.608648532562757,6.7656250498584125
4,6.345877858381477,4.347984051750999,7.784289191973715
5,6.654319217602516,6.003017200235609,7.231004583039144
